Number of Students,Academic Year,Dom Ireland GB,Isced Discipline,Institute New Combined,County
2,2018/2019,Ireland,(0511) Biology,Limerick IT,Waterford
5,2018/2019,Ireland,(0511) Biology,Maynooth University,Waterford
41,2018/2019,Ireland,(0511) Biology,University College Cork,Waterford
2,2018/2019,Ireland,(0511) Biology,University College Dublin,Waterford
11,2018/2019,Ireland,(0511) Biology,University of Limerick,Waterford
33,2018/2019,Ireland,(0511) Biology,Waterford IT,Waterford
6,2018/2019,Ireland,(0512) Biochemistry,Cork IT,Waterford
5,2018/2019,Ireland,(0512) Biochemistry,IT Carlow,Waterford
3,2018/2019,Ireland,(0512) Biochemistry,Technological University Dublin,Waterford
8,2018/2019,Ireland,(0512) Biochemistry,University College Cork,Waterford
13,2018/2019,Ireland,(0512) Biochemistry,University College Dublin,Waterford
5,2018/2019,Ireland,(0512) Biochemistry,University of Limerick,Waterford
1,2018/2019,Ireland,(0520) Environment not further defined or elsewhere classified,IT Carlow,Waterford
3,2018/2019,Ireland,(0520) Environment not further defined or elsewhere classified,University of Limerick,Waterford
1,2018/2019,Ireland,(0521) Environmental sciences,Cork IT,Waterford
1,2018/2019,Ireland,(0521) Environmental sciences,IT Carlow,Waterford
2,2018/2019,Ireland,(0521) Environmental sciences,Limerick IT,Waterford
6,2018/2019,Ireland,(0521) Environmental sciences,University College Cork,Waterford
1,2018/2019,Ireland,(0521) Environmental sciences,University College Dublin,Waterford
3,2018/2019,Ireland,(0521) Environmental sciences,University of Limerick,Waterford
10,2018/2019,Ireland,(0521) Environmental sciences,Waterford IT,Waterford
3,2018/2019,Ireland,(0522) Natural environments and wildlife,IT Tralee,Waterford
1,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,Galway-Mayo IT,Waterford
1,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,Maynooth University,Waterford
4,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,"National University of Ireland, Galway",Waterford
1,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,Technological University Dublin,Waterford
9,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,Trinity College Dublin,Waterford
1,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,University College Dublin,Waterford
1,2018/2019,Ireland,(0531) Chemistry,Athlone IT,Waterford
2,2018/2019,Ireland,(0531) Chemistry,Cork IT,Waterford
3,2018/2019,Ireland,(0531) Chemistry,Dublin City University,Waterford
2,2018/2019,Ireland,(0531) Chemistry,Maynooth University,Waterford
1,2018/2019,Ireland,(0531) Chemistry,"National University of Ireland, Galway",Waterford
2,2018/2019,Ireland,(0531) Chemistry,Technological University Dublin,Waterford
4,2018/2019,Ireland,(0531) Chemistry,Trinity College Dublin,Waterford
23,2018/2019,Ireland,(0531) Chemistry,University College Cork,Waterford
3,2018/2019,Ireland,(0531) Chemistry,University College Dublin,Waterford
13,2018/2019,Ireland,(0531) Chemistry,University of Limerick,Waterford
113,2018/2019,Ireland,(0531) Chemistry,Waterford IT,Waterford
1,2018/2019,Ireland,(0532) Earth sciences,Maynooth University,Waterford
3,2018/2019,Ireland,(0532) Earth sciences,"National University of Ireland, Galway",Waterford
4,2018/2019,Ireland,(0532) Earth sciences,University College Cork,Waterford
1,2018/2019,Ireland,(0532) Earth sciences,University College Dublin,Waterford
4,2018/2019,Ireland,(0533) Physics,Cork IT,Waterford
3,2018/2019,Ireland,(0533) Physics,Dublin City University,Waterford
1,2018/2019,Ireland,(0533) Physics,Maynooth University,Waterford
1,2018/2019,Ireland,(0533) Physics,Technological University Dublin,Waterford
4,2018/2019,Ireland,(0533) Physics,Trinity College Dublin,Waterford
4,2018/2019,Ireland,(0533) Physics,University College Cork,Waterford
4,2018/2019,Ireland,(0533) Physics,University College Dublin,Waterford
3,2018/2019,Ireland,(0533) Physics,University of Limerick,Waterford
9,2018/2019,Ireland,(0533) Physics,Waterford IT,Waterford
8,2018/2019,Ireland,(0540) Mathematics and statistics not further defined or elsewhere classified,University College Cork,Waterford
1,2018/2019,Ireland,(0540) Mathematics and statistics not further defined or elsewhere classified,University of Limerick,Waterford
3,2018/2019,Ireland,(0541) Mathematics,Maynooth University,Waterford
3,2018/2019,Ireland,(0541) Mathematics,"National University of Ireland, Galway",Waterford
2,2018/2019,Ireland,(0541) Mathematics,Technological University Dublin,Waterford
6,2018/2019,Ireland,(0541) Mathematics,Trinity College Dublin,Waterford
7,2018/2019,Ireland,(0541) Mathematics,University College Dublin,Waterford
3,2018/2019,Ireland,(0541) Mathematics,University of Limerick,Waterford
1,2018/2019,Ireland,(0542) Statistics,Dublin City University,Waterford
1,2018/2019,Ireland,(0542) Statistics,Trinity College Dublin,Waterford
6,2018/2019,Ireland,(0542) Statistics,University College Dublin,Waterford
5,2018/2019,Ireland,(0542) Statistics,University of Limerick,Waterford
1,2018/2019,Ireland,"(0588) Interdisciplinary programmes and qualifications involving natural sciences, mathematics and statistics",Maynooth University,Waterford
8,2018/2019,Ireland,"(0588) Interdisciplinary programmes and qualifications involving natural sciences, mathematics and statistics",University College Dublin,Waterford
5,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Dublin City University,Waterford
1,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,IT Sligo,Waterford
14,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Limerick IT,Waterford
4,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Maynooth University,Waterford
1,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Technological University Dublin,Waterford
3,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Trinity College Dublin,Waterford
33,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,University College Cork,Waterford
3,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,University of Limerick,Waterford
203,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Waterford IT,Waterford
10,2018/2019,Ireland,(0611) Computer use,Cork IT,Waterford
2,2018/2019,Ireland,(0611) Computer use,Technological University Dublin,Waterford
12,2018/2019,Ireland,(0611) Computer use,Waterford IT,Waterford
8,2018/2019,Ireland,(0612) Database and network design and administration,IT Carlow,Waterford
1,2018/2019,Ireland,(0612) Database and network design and administration,Limerick IT,Waterford
1,2018/2019,Ireland,(0612) Database and network design and administration,University College Cork,Waterford
2,2018/2019,Ireland,(0613) Software and applications development and analysis,Athlone IT,Waterford
3,2018/2019,Ireland,(0613) Software and applications development and analysis,Cork IT,Waterford
2,2018/2019,Ireland,(0613) Software and applications development and analysis,Dublin City University,Waterford
1,2018/2019,Ireland,(0613) Software and applications development and analysis,Dundalk IT,Waterford
1,2018/2019,Ireland,(0613) Software and applications development and analysis,IT Carlow,Waterford
1,2018/2019,Ireland,(0613) Software and applications development and analysis,"National University of Ireland, Galway",Waterford
3,2018/2019,Ireland,(0613) Software and applications development and analysis,Technological University Dublin,Waterford
1,2018/2019,Ireland,(0613) Software and applications development and analysis,University College Cork,Waterford
7,2018/2019,Ireland,(0613) Software and applications development and analysis,University College Dublin,Waterford
21,2018/2019,Ireland,(0613) Software and applications development and analysis,University of Limerick,Waterford
47,2018/2019,Ireland,(0613) Software and applications development and analysis,Waterford IT,Waterford
8,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,Cork IT,Waterford
4,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,Dublin City University,Waterford
1,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,IT Carlow,Waterford
4,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,"National University of Ireland, Galway",Waterford
3,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,Technological University Dublin,Waterford
13,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,Trinity College Dublin,Waterford
12,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,University College Cork,Waterford
9,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,University College Dublin,Waterford
